"Year","Month","Day","Time","End Year","End Month","End Day","End Time","Display Date","Headline","Text","Media","Media Credit","Media Caption","Media Thumbnail","Type","Group","Background","Tag"
2011,6,26,,,,,,"26 jun 2011","Ley 144 — Revolución Productiva Comunitaria Agropecuaria","Promulgada el 26 de junio de 2011, la Ley 144 es el marco legal sectorial más importante de la era Morales. Establece como finalidad la <b>soberanía alimentaria para el Vivir Bien</b> mediante 15 políticas productivas. Reconoce formalmente a las OECOM (Organizaciones Económicas Comunitarias) como sujetos productivos. Crea el <b>Seguro Agrario Universal """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Pachamama""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""</b> (art. 20) para cubrir daños climáticos en cultivos estratégicos, reestructura la institucionalidad rural bajo el CONSEA y el COMANSA, y manda la asistencia técnica integral obligatoria. Sus reglamentos posteriores dan origen operativo a CRIAR, EMPODERAR y otros. Fuente primaria: Ley 144, Gaceta Oficial 27/06/2011. Vínculo con panel: gasto en seguro agrario, gasto CRIAR/EMPODERAR, cobertura de asistencia técnica.","media/morales_2006_2019/hito_27.jpg","Fundación TIERRA","Ley 144 - publicación",,"","Leyes","","ley144|revolucion_productiva|OECOM|seguro_pachamama"
2011,11,27,,2019,12,31,,"2011-2019","Programa CRIAR — Apoyos Directos Agroalimentarios","El <b>Programa de Apoyos Directos para la Creación de Iniciativas Alimentarias Rurales (CRIAR)</b> fue financiado por contrato de préstamo BID firmado el 27 de noviembre de 2009 (USD 20 millones) e implementado desde 2011 por el MDRyT con cobertura en La Paz, Cochabamba, Chuquisaca, Tarija y Potosí. Mecanismo: vouchers no reembolsables que cubren 90% del costo de tecnologías agropecuarias elegidas por productoras/es de agricultura familiar, más asistencia técnica grupal e individual. Evaluaciones de impacto del BID mostraron incrementos de 20-30% en ingresos, +22% productividad, +36% seguridad alimentaria. Se extiende con <b>CRIAR II</b> (desde 2016, BID BO-L1119). Fuente primaria: préstamo BID BO-L1040; Ley 144 art. 14. Vínculo con panel: gasto_MDRyT_CRIAR, indicadores de adopción tecnológica.","media/morales_2006_2019/hito_28.jpg","BID","Publicación CRIAR",,"","Programas","","CRIAR|BID|vouchers|agricultura_familiar"
2012,10,15,,,,,,"15 oct 2012","Ley 300 — Marco Madre Tierra y Desarrollo Integral","La Ley Marco 300 del 15 de octubre de 2012 operativiza los derechos reconocidos en la Ley 071 y los concilia con el imperativo del desarrollo integral para Vivir Bien. Define 17 principios (entre ellos no mercantilización de funciones ambientales, justicia climática, integralidad). Crea: (i) el <b>Consejo Plurinacional para Vivir Bien en Armonía y Equilibrio con la Madre Tierra</b>; (ii) la <b>Autoridad Plurinacional de la Madre Tierra (APMT)</b>, responsable de política climática; (iii) el <b>Mecanismo Conjunto de Mitigación y Adaptación para el Manejo Integral y Sustentable de los Bosques y la Madre Tierra</b>. En tensión estructural con las Leyes 337/741 posteriores, constituye el brazo """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""verde"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" de la arquitectura MAS. Fuente primaria: Ley 300, Gaceta Oficial.","media/morales_2006_2019/hito_29.jpg","FAO Bolivia","Ley 300 - carátula",,"","Leyes","","ley300|madre_tierra|APMT|bosques"
2013,1,11,,,,,,"11 ene 2013","Ley 337 — Apoyo a la Producción de Alimentos y Restitución de Bosques","La Ley 337 del 11 de enero de 2013 establece un <b>régimen excepcional</b> para predios con desmontes no autorizados entre el 12 de julio de 1996 y el 31 de diciembre de 2011. A cambio de adherirse al """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Programa de Producción de Alimentos y Restitución de Bosques"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" (administrado por MDRyT, EMAPA y ABT), los propietarios pagan multas fuertemente reducidas respecto al régimen de la Ley Forestal 1700. Es la primera de las llamadas <b>""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""leyes incendiarias""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""</b>: legaliza ~5,9 millones de hectáreas de desmontes ilegales en Santa Cruz y Beni bajo el argumento de la soberanía alimentaria. La ABT reportó más de 300.000 ha inscritas en el programa. Fuente primaria: Ley 337, Gaceta Oficial. Vínculo con panel: pérdida de bosque MapBiomas/Hansen, desmonte legal vs ilegal ABT.","media/morales_2006_2019/hito_30.jpg","FAO Lex","Ley 337 - texto",,"","Leyes","","ley337|desmonte|perdón|ABT|bosques"
2013,8,21,,,,,,"21 ago 2013","Ley 393 — Servicios Financieros","La Ley 393 del 21 de agosto de 2013 reemplaza la Ley 1488 (1993) y reforma integralmente el sistema financiero con énfasis productivo y social. Faculta al Órgano Ejecutivo a fijar por DS <b>tasas máximas de crédito productivo y vivienda social</b> y <b>niveles mínimos de cartera</b>: bancos múltiples deben mantener ≥50% de su cartera entre crédito productivo y vivienda social (con ≥25% al sector productivo); bancos PYME ≥40% a crédito productivo. Es la palanca regulatoria clave para inducir crédito agropecuario desde la banca privada y convive con el BDP de segundo piso. Fuente primaria: Ley 393, Gaceta Oficial. Vínculo con panel: bcb_cred_agro_productivo, tasas reguladas, cartera sector productivo por banco.","media/morales_2006_2019/hito_31.jpg","MEFP Bolivia","Ministerio de Economía",,"","Leyes","","ley393|credito|banca|cartera_productiva"
2013,12,17,,,,,,"dic 2013","Agenda Patriótica 2025 (13 Pilares)","Presentada por Evo Morales ante la Asamblea Legislativa Plurinacional el 22 de enero de 2013 y consolidada durante ese año como hoja de ruta del Bicentenario (2025), la <b>Agenda Patriótica 2025</b> organiza 13 pilares y 68 dimensiones. Pilares clave para el APER: <b>Pilar 6</b> (Soberanía Productiva con Diversificación), <b>Pilar 8</b> (Soberanía Alimentaria — """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Saber alimentarse para Vivir Bien""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""), <b>Pilar 9</b> (Soberanía Ambiental y derechos de la Madre Tierra). Elevada a rango de ley por <b>Ley 650 del 15 de enero de 2015</b>, se convierte en el marco de obligatorio referente para el PDES 2016-2020 y los planes sectoriales. Es la matriz que articula gasto, planificación e indicadores del sector agropecuario en el segundo y tercer mandato de Morales. Fuente primaria: Ley 650/2015; discurso presidencial 22/01/2013.","media/morales_2006_2019/hito_32.jpg","CEPAL Observatorio","Agenda Patriótica 2025 PDGES",,"","Institucional","","agenda_patriotica|pilar_6|pilar_8|bicentenario"
2014,6,26,,,,,,"jun 2014","Plan del Sector Desarrollo Agropecuario """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Revolución Rural y Agraria"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" (PSDA 2014-2018)","El Plan del Sector Desarrollo Agropecuario """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Revolución Rural y Agraria"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" 2014-2018, elaborado por el MDRyT y aprobado por Resolución Ministerial, operativiza la Ley 144 y la Agenda Patriótica en el sector. Sus ejes: (i) transformación de los sistemas productivos pecuarios y forestales con enfoque ecológico, sostenible e inclusivo; (ii) cambio tecnológico e innovación; (iii) seguridad y soberanía alimentaria; (iv) mercados justos e institucionalidad comunitaria. Integra los programas bandera (CRIAR, EMPODERAR, PAR, Mi Riego, EMAPA, INIAF) en un solo marco presupuestal. Sucedido en 2016 por el PSARDI. Fuente primaria: MDRyT, FAO-Lex BOL148581.","media/morales_2006_2019/hito_33.jpg","FAO-Lex","PSDA 2014-2018",,"","Institucional","","PSDA|plan_sectorial|MDRyT"
2014,12,29,,,,,,"29 dic 2014","Ley 622 — Alimentación Escolar","La Ley 622 del 29 de diciembre de 2014 regula la <b>Alimentación Complementaria Escolar (ACE)</b> en el marco de la soberanía alimentaria y la economía plural. Obliga a las entidades territoriales autónomas (gobiernos municipales y departamentales) a proveer ACE durante toda la gestión educativa, con alimentos sanos, nutritivos y <b>de origen local/nacional</b>. Reconoce como proveedores prioritarios a las <b>OECAS</b> (Organizaciones Económicas de la Agricultura Familiar Campesina), OECOM y la economía social comunitaria. Es la norma que convierte la compra pública de alimentos en palanca estructural de la agricultura familiar: moviliza ~USD 150 millones anuales en compras municipales. Fuente primaria: Ley 622, Gaceta Oficial. Vínculo con panel: compras públicas locales, participación OECAS en ACE municipal.","media/morales_2006_2019/hito_34.jpg","FAO Bolivia","Ley 622 ACE",,"","Leyes","","ley622|ACE|compras_publicas|OECAS"
2015,4,21,,2015,4,23,,"21-23 abr 2015","Cumbre Agropecuaria """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Sembrando Bolivia""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","La Cumbre """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Sembrando Bolivia"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", del 21-23 de abril de 2015 en Santa Cruz, reúne por primera vez al gobierno, la CAO (agroindustria), pequeños productores, indígenas e interculturales en cinco mesas: (1) Tierra y estructura agraria, (2) Producción y productividad, (3) Diversificación e industrialización, (4) Mercado y exportaciones, (5) Infraestructura y riego. Acuerdos históricos: <b>ampliación del desmonte autorizado de 5 a 20 ha</b> para pequeñas propiedades, comunidades y asentamientos; impulso a mejoramiento genético bovino y lechero; estudio de un <b>Seguro Agrícola Universal</b>; mecanismos para agilizar exportaciones e importación de insumos. Sin acuerdo en transgénicos. Álvaro García Linera la calificó de """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""extraordinaria"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""". Consolida el <b>giro productivista-agroexportador</b> de Morales y abre la puerta política a las leyes posteriores (741, DS 3973). Fuente: CIPCA, Boletín SIIP MDPyEP.","media/morales_2006_2019/hito_35.jpg","CIPCA","Documento CIPCA sobre la Cumbre",,"","Eventos","","cumbre|sembrando_bolivia|CAO|giro_productivista"
2015,9,29,,,,,,"29 sep 2015","Ley 741 — Desmonte hasta 20 ha","Promulgada por Evo Morales en Montero el 29 de septiembre de 2015, la Ley 741 autoriza el <b>desmonte de hasta 20 hectáreas</b> en pequeñas propiedades, propiedades comunitarias/colectivas y asentamientos humanos legalmente establecidos, incluyendo <b>bosques primarios</b>, con fines agropecuarios de """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""producción integral y sustentable"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""". Exonera de patente de desmonte. Operativiza el acuerdo clave de la Cumbre """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Sembrando Bolivia"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""". Consecuencia: ~460.000 hectáreas deforestadas bajo los PDM-20 según cálculos sobre datos ABT; además se presume triangulación con desmontes mayores encadenados. Los análisis de Fundación TIERRA muestran que el desmonte aumentó pero <b>no la producción agropecuaria</b> en comunidades receptoras. Abrogada por el Senado en septiembre de 2024. Fuente primaria: Ley 741, Gaceta Oficial.","media/morales_2006_2019/hito_36.jpg","Fundación TIERRA","Ley 741 - análisis TIERRA",,"","Leyes","","ley741|desmonte_20ha|PDM20|interculturales"
2016,12,15,,2020,12,31,,"2016-2020","PSARDI — Plan del Sector Agropecuario y Rural con Desarrollo Integral","El <b>Plan del Sector Agropecuario y Rural con Desarrollo Integral (PSARDI) 2016-2020</b>, construido participativamente por el MDRyT durante 2016, reemplaza al PSDA y alinea al sector con el PDES 2016-2020 y la Ley 650 (Agenda Patriótica). Objetivo general: <b>incrementar el ingreso de productoras/es agropecuarios y rurales</b>, priorizando población vulnerable, mediante asistencia técnica, infraestructura, acceso a mercados e inclusión con equidad social, cultural y de género. Organiza la inversión de CRIAR II, EMPODERAR, PAR II, Mi Riego II, INIAF, ACCESOS, PICAR. Es el último gran marco sectorial estructurado antes de la crisis 2019 y la base de todas las evaluaciones de gasto del tercer mandato. Fuente primaria: MDRyT; CEPAL Observatorio.","media/morales_2006_2019/hito_37.jpg","Ministerio de Planificación","PDES 2016-2020",,"","Institucional","","PSARDI|PDES|plan_sectorial"
2019,7,9,,,,,,"9 jul 2019","DS 3973 — Ampliación del chaqueo en Santa Cruz y Beni","El Decreto Supremo 3973 del 9 de julio de 2019 modifica el art. 5 del DS 26075 (2001) y autoriza quemas controladas (chaqueo) y desmontes <b>incluso en Tierras de Producción Forestal Permanente (TPFP)</b> en los departamentos de Santa Cruz y Beni. Emitido sin consulta a ABT ni a pueblos indígenas afectados. Es considerado el detonante regulatorio directo de los incendios masivos de agosto-octubre 2019 en la Chiquitanía. Junto con las Leyes 337, 740 y 741, completa el """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""paquete incendiario"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" de la era Morales. Generó pedidos de abrogación de FAN, Fundación TIERRA y movimientos indígenas. Fuente primaria: DS 3973, Gaceta Oficial 09/07/2019.","media/morales_2006_2019/hito_38.jpeg","Mongabay Latam","Chaqueo Chiquitanía",,"","Leyes","","DS3973|chaqueo|TPFP|chiquitania"
2019,8,1,,2019,10,31,,"ago-oct 2019","Incendios masivos en la Chiquitania","Entre agosto y octubre de 2019, los incendios forestales en Bolivia arrasan <b>5,3 millones de hectáreas</b> a nivel nacional (FAN, 25 sep 2019), de las cuales ~73% en la Chiquitanía (Santa Cruz): 1.416.105 ha de bosque chiquitano puro, más 427.847 ha chiquitano-chaqueño y 13.897 ha chiquitano-amazónico. Afectaron 30 áreas protegidas (entre ellas Ñembi Guasu y San Matías). Causaron la muerte estimada de >6 millones de mamíferos (Scielo Bolivia, 2021). El desastre combina efectos de la Ley 337, Ley 741 y DS 3973 con una temporada atípicamente seca. El rechazo social contribuyó a deslegitimar al gobierno en la recta final hacia las elecciones de octubre. Fuente: FAN, CEDIB Dossier Incendios 2019. Vínculo con panel: pérdida forestal MapBiomas, focos MODIS/VIIRS, hectáreas áreas protegidas afectadas.","media/morales_2006_2019/hito_39.jpg","Wikimedia Commons / Adel Alcantara / CC-BY-SA 4.0","Gran incendio en San José de Chiquitos, agosto 2019",,"","Eventos","","incendios|chiquitania|53_millones_ha|FAN"
2019,10,20,,2019,11,10,,"20 oct - 10 nov 2019","Crisis política y renuncia de Evo Morales","Las elecciones generales del 20 de octubre de 2019 desencadenan la mayor crisis política boliviana del siglo XXI. La interrupción del TREP, la denuncia de fraude por la OEA (informe del 10 de noviembre) y 21 días de protestas civiles y bloqueos culminan el <b>10 de noviembre de 2019</b> con la """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""sugerencia"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" pública del Alto Mando Militar (Gral. Williams Kaliman) a Morales de renunciar. Morales renuncia esa misma tarde, huye a México y luego Argentina. Jeanine Áñez asume la presidencia transitoria el 12 de noviembre. Para el APER, la crisis cierra 14 años de política agropecuaria MAS y abre un corto pero intenso período de reversión (emergencia por COVID, autorización transitoria de eventos transgénicos, DS 4232/2020, DS 4348/2020). Fuente: Informe OEA 10/11/2019; Infobae, CNN Español.","media/morales_2006_2019/hito_40.jpg","Wikimedia Commons","Evo Morales",,"","Eventos","","crisis_2019|renuncia|OEA|fin_era_morales"
2019,11,10,,2020,11,8,,"2019-2020 Transición Áñez","Crisis política post-electoral y gobierno transitorio","Tras las elecciones del 20 de octubre 2019, la OEA observa irregularidades y el 10 de noviembre Evo Morales renuncia y sale al exilio. El 12 de noviembre la senadora Jeanine Áñez (Demócratas) asume la Presidencia en un Congreso sin quórum de MAS. La transición estuvo marcada por los conflictos de Sacaba y Senkata (noviembre 2019) con más de 30 muertos (CIDH/GIEI). El gobierno interino paraliza la agenda productiva del MAS, suspende programas emblemáticos (PAR II parcialmente), y pivota hacia la apertura biotecnológica y la gestión de la pandemia. En términos del panel v10, el shock se observa en la caída de inv_agro 2020 y en la ejecución MDRyT 2020, con la """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""pésima programación de producción piscícola"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" reconocida por la propia RPC IPD-PACU 2021 (p.30). La transición cierra con las elecciones de octubre 2020.","media/morales_2006_2019/hito_41.jpg","Senado Bolivia / Wikimedia Commons","Jeanine Áñez asume la presidencia de Bolivia, 12 nov 2019",,"era","Eventos","#8B0000","crisis_politica|transicion|anez"
2019,11,12,,,,,,"","Áñez asume presidencia interina","El 12 de noviembre 2019 Jeanine Áñez (presidenta del Senado) se proclama Presidenta Constitucional Interina en sesión sin quórum del MAS, invocando la Sentencia Constitucional Plurinacional 0003/01 de sucesión. Nombra gabinete con perfil cruceño-empresarial y, en agropecuaria, designa a César Cocarico (en un primer momento) y luego a Eliane Capobianco (diciembre 2019) al frente del MDRyT, de perfil cercano a CAO-Santa Cruz. Esta inflexión política abre el ciclo de política agropecuaria más favorable al agronegocio cruceño desde 2006: se desactivan mesas con CSUTCB/CONAMAQ, se frenan negociaciones sobre tierras fiscales, y se priorizan demandas del agronegocio (biotecnología, apertura de exportaciones, biodiésel). Primera decisión con implicancia agropecuaria directa: DS 4100/2019 (autorización de exportaciones agrícolas, diciembre 2019).","media/morales_2006_2019/hito_42.jpg","Ministerio de Comunicación Bolivia / Wikimedia Commons","Jeanine Áñez, presidenta transitoria (noviembre 2019)",,"","Institucional","#8B0000","anez|MDRyT|gabinete"
2020,3,17,,,,,,"","Cuarentena COVID-19 y primeros decretos sectoriales","El 17 de marzo 2020 el gobierno Áñez declara cuarentena total por COVID-19 (DS 4196). El sector agropecuario es declarado esencial pero sufre disrupción fuerte en cadenas (leche, hortalizas, carne, papa) y caída de precios internos por cierre de ferias y mercados urbanos. La economía boliviana se contrae -8,7% en 2020 (INE/BCB), la mayor caída desde 1953; el PIB agropecuario (rama A) se mantiene resiliente (+1,6%) por ser esencial pero con fuerte heterogeneidad entre cultivos de exportación y de subsistencia. En abril-mayo se emiten DS 4196, 4199, 4200, 4216 y 4232 en paquete. Para el APER este año es el ancla del shock externo: la caída de ejec_agro 2020 observada en el panel v10 combina (i) disrupción administrativa por cambio de gobierno, (ii) redirección de recursos TGN a salud y bonos, (iii) parálisis de contrataciones por cuarentena.","media/anez_arce_2019_2025/hito_43.png","Ministerio de Comunicación / Wikimedia Commons","Áñez anuncia cuarentena total, 17 marzo 2020",,"","Eventos","#B22222","covid|cuarentena|shock"
2020,5,7,,,,,,"","DS 4232 — Apertura OGM de emergencia","El 7 de mayo 2020 el gobierno Áñez emite el DS 4232, que autoriza al Comité Nacional de Bioseguridad a establecer procedimientos abreviados para evaluar eventos genéticamente modificados de maíz, caña de azúcar, algodón, trigo y soya, """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""destinados al abastecimiento del consumo interno y comercialización externa"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" y justificados por la emergencia COVID-19 y la seguridad alimentaria. La norma es celebrada por CAO, ANAPO y CNI-Cámara Nacional de Industrias, y rechazada por CIPCA, Fundación TIERRA, plataforma Bolivia Libre de Transgénicos, CSUTCB, Bartolinas y CIDOB. Abre la puerta a HB4 (soya tolerante a sequía) y eventos Bt/RR en otros cultivos. El debate es uno de los fracturadores de la agenda agropecuaria 2020-2025. En el panel v10 marca el punto de inflexión en discurso regulatorio y es insumo para narrativa del APER sobre gobernanza biotecnológica. Fuente primaria: Gaceta Oficial, DS 4232 de 07/V/2020.","media/anez_arce_2019_2025/hito_44.jpg","USDA / Wikimedia Commons","Campo de soya (ilustrativo)",,"","Leyes","#8B4513","DS_4232|OGM|soya|bioseguridad"
2020,10,18,,,,,,"","Elecciones 2020 — Arce gana en primera vuelta","El 18 de octubre 2020 Luis Arce (MAS-IPSP) gana en primera vuelta con 55,1% frente a Carlos Mesa (28,8%) y Luis Fernando Camacho (14%). El resultado valida electoralmente el retorno del MAS y abre el segundo ciclo del proyecto. David Choquehuanca es electo Vicepresidente. Para el sector agropecuario el giro es nítido: retorno del eje """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""reconstrucción productiva y seguridad alimentaria con soberanía"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", reactivación de programas congelados en la transición (PAR II, EMPODERAR, IPD-PACU), y revisión política de los decretos biotecnológicos de Áñez. En el panel v10 se espera recuperación de la ejecución MDRyT entre 2021 y 2022 (confirmada por RPC Final 2021 y 2022).","media/anez_arce_2019_2025/hito_45.png","Presidencia Bolivia / Wikimedia Commons","Luis Arce, presidente electo 2020",,"","Eventos","#1E4D8A","elecciones|arce|MAS"
2020,11,8,,,,,,"","Posesión Luis Arce — fin de la transición","El 8 de noviembre 2020 Luis Arce y David Choquehuanca son investidos Presidente y Vicepresidente del Estado Plurinacional. En agropecuaria designa a Remmy Gonzales Atila (MDRyT) y consolida la agenda de """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Reconstrucción económica con sustitución de importaciones"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""". El nuevo gobierno recibe un MDRyT con ejecución degradada (IPD-PACU cerró 2020 con fuerte sub-producción; RPC 2021 p.30) y una economía en recesión profunda. Los primeros decretos con impacto agropecuario son el DS 4393 (reactivación económica) y posteriormente el DS 4497 (2021, reglamentación OGM restrictiva). Este hito ancla el inicio del ciclo Arce-MDRyT 2020-2025 evaluado por el APER.","media/anez_arce_2019_2025/hito_46.png","ABI / Wikimedia Commons","Posesión presidencial Arce-Choquehuanca, 8 nov 2020",,"","Institucional","#1E4D8A","arce|MAS|posesion"
2020,12,28,,,,,,"","Ley 1357 — Impuesto a las Grandes Fortunas (IGF)","El 28 de diciembre 2020 se promulga la Ley 1357 del Impuesto a las Grandes Fortunas (IGF), primer impuesto permanente al patrimonio neto >Bs 30 millones (aprox. USD 4,3 M) con alícuotas progresivas 1,4%-2,4%. Aunque no es impuesto sectorial, su diseño afecta a grandes propietarios agropecuarios (soyeros, ganaderos del Beni y Santa Cruz) y es parte del discurso arcista de justicia tributaria post-COVID. Recaudación efectiva inicial modesta (~Bs 240 M año 1 según MEFP) pero con efecto señalización relevante para el debate sobre presión tributaria rural. Fuente primaria: Ley 1357/2020, Gaceta Oficial. Para el APER es relevante porque la frontera de tributación sobre grandes tenencias rurales ha sido históricamente baja y este impuesto es el primer intento permanente desde la Ley 843.","media/anez_arce_2019_2025/hito_47.png","Wikimedia Commons","Asamblea Legislativa Plurinacional",,"","Leyes","#1E4D8A","IGF|tributario|grandes_fortunas"
2021,3,31,,,,,,"","DS 4497 — reversión de la vía abreviada OGM","El 31 de marzo 2021 el gobierno Arce emite el DS 4497, que abroga los incisos del DS 4232/2020 que habilitaban procedimientos abreviados para eventos transgénicos en maíz, caña, algodón y trigo. Deja vigente solo el evento RR1 de soya (introducido en 2005) bajo el régimen ordinario. La medida es respuesta a la demanda de organizaciones indígena-campesinas (CSUTCB, Bartolinas, CIDOB) y cierra parcialmente la ventana abierta por Áñez. ANAPO y CAO rechazan la decisión y abren un frente de presión empresarial que se prolongará todo el gobierno Arce. Para el APER documenta la discontinuidad regulatoria biotecnológica 2020-2021 y es insumo para la sección de gobernanza sectorial. Fuente primaria: DS 4497 de 31/III/2021, Gaceta Oficial.","media/anez_arce_2019_2025/hito_48.jpg","Gobierno de Bolivia","Bandera oficial del Estado Plurinacional",,"","Leyes","#1E4D8A","DS_4497|OGM|reversion"
2021,12,1,,,,,,"","DS 4632 — Programa Nacional Pesca y Acuicultura 2022-2025","El 1 de diciembre 2021 el gobierno Arce promulga el DS 4632, que crea seis programas nacionales 2022-2025 entre ellos el Programa Nacional para el Desarrollo de la Pesca y la Acuicultura Sostenible en Bolivia (Bs 265,07 M) ejecutado por IPD-PACU con meta de 18.173 t de carne al 2025 y 9.640 familias beneficiarias. Es la norma marco plurianual que organiza el portafolio agropecuario del quinquenio arcista. En el panel v10, este decreto explica la expansión de asignación a IPD-PACU desde 2022 (confirmada en RPC Final 2024 con Bs 65 M vigente). Fuente primaria: DS 4632/2021, Gaceta Oficial; RPC Final IPD-PACU 2021, p. 3 y 18.","media/anez_arce_2019_2025/hito_49.jpg","Wikimedia Commons","Lago Titicaca, Bolivia — pesca artesanal",,"","Leyes","#1E4D8A","DS_4632|pesca|acuicultura|programa"
2022,6,30,,,,,,"","PAR III aprobado por el Banco Mundial","El 30 de junio 2022 el Directorio del Banco Mundial aprueba el Proyecto de Alianzas Rurales III (P176869) por USD 300 millones (Bs ~2.058 M) orientado a productividad rural, inclusión de mujeres y jóvenes, y resiliencia climática, ejecutado por EMPODERAR-MDRyT. Es la tercera fase del programa PAR (2007-2013 fase I, 2013-2021 fase II) y el compromiso BM-MDRyT más grande del ciclo Arce. La RPC Final 2024 (p.11) reporta ejec. financiera 2024 de apenas 16% (Bs 320 M sobre Bs 2.058 M programados), lo que plantea una alerta crítica para el APER sobre capacidad de absorción. En el panel v10 corresponde a la transferencia BM-MDRyT 2022 con fuerte gap entre asignación y desembolso.","media/anez_arce_2019_2025/hito_50.jpg","World Bank / Wikimedia Commons","Logo Banco Mundial",,"","Programas","#1E4D8A","PAR_III|BM|EMPODERAR"
